Title,Year,Score,Runtime,Genre,Rating
Stand by Me,1986,8.1,89,Adventure,R
Ferris Bueller's Day Off,1986,7.8,103,Comedy,PG-13
Top Gun,1986,6.9,110,Action,PG
Aliens,1986,8.4,137,Action,R
Flight of the Navigator,1986,6.9,90,Adventure,PG
Platoon,1986,8.1,120,Drama,R
Labyrinth,1986,7.4,101,Adventure,PG
Blue Velvet,1986,7.8,120,Drama,R
Pretty in Pink,1986,6.8,96,Comedy,PG-13
The Fly,1986,7.5,96,Drama,R
Crocodile Dundee,1986,6.5,97,Adventure,PG-13
Highlander,1986,7.2,116,Action,R
Lucas,1986,6.8,100,Comedy,PG-13
Big Trouble in Little China,1986,7.3,99,Action,PG-13
Manhunter,1986,7.2,120,Crime,R
9? Weeks,1986,5.9,117,Drama,R
Maximum Overdrive,1986,5.4,98,Action,R
Little Shop of Horrors,1986,6.9,94,Comedy,PG-13
The Wraith,1986,5.9,93,Action,PG-13
Howard the Duck,1986,4.6,110,Action,PG
Critters,1986,6,82,Action,PG-13
Back to School,1986,6.6,96,Comedy,PG-13
The Texas Chainsaw Massacre 2,1986,5.6,89,Comedy,UNRATED
Heartbreak Ridge,1986,6.8,130,Action,R
Star Trek IV: The Voyage Home,1986,7.3,119,Adventure,PG
Short Circuit,1986,6.6,98,Comedy,PG
The Name of the Rose,1986,7.8,130,Crime,R
Iron Eagle,1986,5.3,117,Action,PG-13
The Golden Child,1986,5.9,94,Action,PG-13
River's Edge,1986,7.1,99,Crime,R
?Three Amigos!,1986,6.4,104,Comedy,PG
Cobra,1986,5.7,87,Action,R
Betty Blue,1986,7.4,120,Drama,Not specified
The Mission,1986,7.5,125,Adventure,PG
The Color of Money,1986,7,119,Drama,R
The Karate Kid Part II,1986,5.9,113,Action,PG
The Boy Who Could Fly,1986,6.5,114,Drama,PG
The Hitcher,1986,7.3,97,Thriller,R
The Money Pit,1986,6.3,91,Comedy,PG
Jason Lives: Friday the 13th Part VI,1986,5.9,86,Horror,R
The Mosquito Coast,1986,6.6,117,Adventure,PG
An American Tail,1986,6.9,80,Animation,G
Sid and Nancy,1986,7.1,112,Biography,R
King Kong Lives,1986,3.8,105,Action,PG-13
From Beyond,1986,6.7,86,Horror,R
Peggy Sue Got Married,1986,6.3,103,Comedy,PG-13
Poltergeist II: The Other Side,1986,5.7,91,Horror,PG-13
Troll,1986,4.3,82,Comedy,PG-13
Running Scared,1986,6.5,107,Action,R
Wildcats,1986,5.9,106,Comedy,R
Henry: Portrait of a Serial Killer,1986,7,83,Biography,UNRATED
SpaceCamp,1986,5.6,107,Adventure,PG
Hannah and Her Sisters,1986,8,107,Comedy,PG-13
The Great Mouse Detective,1986,7.2,74,Animation,G
Raw Deal,1986,5.5,106,Action,R
The Transformers: The Movie,1986,7.3,84,Animation,PG
Rad,1986,7.2,91,Drama,PG
Night of the Creeps,1986,6.8,88,Comedy,R
Invaders from Mars,1986,5.5,100,Horror,PG
Crossroads,1986,7.1,99,Drama,R
Hoosiers,1986,7.6,114,Drama,PG
