Title	Year	Score	Runtime	Genre	Rating

Stand by Me, 	1986, 	8.1/10, 	89 minutes, 	Adventure, 	R

Ferris Bueller's Day Off, 	1986, 	7.8/10, 	103 minutes, 	Comedy, 	PG-13

Top Gun, 	1986, 	6.9/10, 	110 minutes, 	Action, 	PG

Aliens, 	1986, 	8.4/10, 	137 minutes, 	Action, 	R

Flight of the Navigator, 	1986, 	6.9/10, 	90 minutes, 	Adventure, 	PG

Platoon, 	1986, 	8.1/10, 	120 minutes, 	Drama, 	R

Labyrinth, 	1986, 	7.4/10, 	101 minutes, 	Adventure, 	PG

Blue Velvet, 	1986, 	7.8/10, 	120 minutes, 	Drama, 	R

Pretty in Pink, 	1986, 	6.8/10, 	96 minutes, 	Comedy, 	PG-13

The Fly, 	1986, 	7.5/10, 	96 minutes, 	Drama, 	R

Crocodile Dundee, 	1986, 	6.5/10, 	97 minutes, 	Adventure, 	PG-13

Highlander, 	1986, 	7.2/10, 	116 minutes, 	Action, 	R

Lucas, 	1986, 	6.8/10, 	100 minutes, 	Comedy, 	PG-13

Big Trouble in Little China, 	1986, 	7.3/10, 	99 minutes, 	Action, 	PG-13

Manhunter, 	1986, 	7.2/10, 	120 minutes, 	Crime, 	R

9? Weeks, 	1986, 	5.9/10, 	117 minutes, 	Drama, 	R

Maximum Overdrive, 	1986, 	5.4/10, 	98 minutes, 	Action, 	R

Little Shop of Horrors, 	1986, 	6.9/10, 	94 minutes, 	Comedy, 	PG-13

The Wraith, 	1986, 	5.9/10, 	93 minutes, 	Action, 	PG-13

Howard the Duck, 	1986, 	4.6/10, 	110 minutes, 	Action, 	PG

Critters, 	1986, 	6/10, 	82 minutes, 	Action, 	PG-13

Back to School, 	1986, 	6.6/10, 	96 minutes, 	Comedy, 	PG-13

The Texas Chainsaw Massacre 2, 	1986, 	5.6/10, 	89 minutes, 	Comedy, 	UNRATED

Heartbreak Ridge, 	1986, 	6.8/10, 	130 minutes, 	Action, 	R

Star Trek IV: The Voyage Home, 	1986, 	7.3/10, 	119 minutes, 	Adventure, 	PG

Short Circuit, 	1986, 	6.6/10, 	98 minutes, 	Comedy, 	PG

The Name of the Rose, 	1986, 	7.8/10, 	130 minutes, 	Crime, 	R

Iron Eagle, 	1986, 	5.3/10, 	117 minutes, 	Action, 	PG-13

The Golden Child, 	1986, 	5.9/10, 	94 minutes, 	Action, 	PG-13

River's Edge, 	1986, 	7.1/10, 	99 minutes, 	Crime, 	R

?Three Amigos!, 	1986, 	6.4/10, 	104 minutes, 	Comedy, 	PG

Cobra, 	1986, 	5.7/10, 	87 minutes, 	Action, 	R

Betty Blue, 	1986, 	7.4/10, 	120 minutes, 	Drama, 	Not specified

The Mission, 	1986, 	7.5/10, 	125 minutes, 	Adventure, 	PG

The Color of Money, 	1986, 	7/10, 	119 minutes, 	Drama, 	R

The Karate Kid Part II, 	1986, 	5.9/10, 	113 minutes, 	Action, 	PG

The Boy Who Could Fly, 	1986, 	6.5/10, 	114 minutes, 	Drama, 	PG

