Title	Year	Score	Runtime	Genre	Rating

From the Land of the Moon, 	2016, 	6.7/10, 	120 minutes, 	Drama, 	R

The Eyes of My Mother, 	2016, 	6.2/10, 	76 minutes, 	Drama, 	R

Batman: The Killing Joke, 	2016, 	6.5/10, 	76 minutes, 	Animation, 	R

Mothers and Daughters, 	2016, 	4.9/10, 	90 minutes, 	Drama, 	PG-13

Absolutely Fabulous: The Movie, 	2016, 	5.4/10, 	91 minutes, 	Comedy, 	R

Risen, 	2016, 	6.3/10, 	107 minutes, 	Action, 	PG-13

The Love Witch, 	2016, 	6.2/10, 	120 minutes, 	Comedy, 	UNRATED

Goat, 	2016, 	5.7/10, 	96 minutes, 	Drama, 	R

Middle School: The Worst Years of My Life, 	2016, 	6.1/10, 	92 minutes, 	Animation, 	PG

Our Kind of Traitor, 	2016, 	6.2/10, 	108 minutes, 	Crime, 	R

The Hollars, 	2016, 	6.5/10, 	88 minutes, 	Comedy, 	PG-13

Love & Friendship, 	2016, 	6.5/10, 	90 minutes, 	Comedy, 	PG

The Darkness, 	2016, 	4.4/10, 	92 minutes, 	Horror, 	PG-13

Indignation, 	2016, 	6.8/10, 	110 minutes, 	Drama, 	R

Complete Unknown, 	2016, 	5.4/10, 	91 minutes, 	Drama, 	R

Kingsglaive: Final Fantasy XV, 	2016, 	6.9/10, 	110 minutes, 	Animation, 	PG-13

Incarnate, 	2016, 	5.2/10, 	91 minutes, 	Horror, 	PG-13

Frantz, 	2016, 	7.5/10, 	113 minutes, 	Drama, 	PG-13

The Other Side of the Door, 	2016, 	5.3/10, 	96 minutes, 	Horror, 	R

Almost Christmas, 	2016, 	6/10, 	111 minutes, 	Comedy, 	PG-13

My Big Fat Greek Wedding 2, 	2016, 	6/10, 	94 minutes, 	Comedy, 	PG-13

The Take, 	2016, 	6.3/10, 	92 minutes, 	Action, 	R

Denial, 	2016, 	6.6/10, 	109 minutes, 	Biography, 	PG-13

The Disappointments Room, 	2016, 	3.9/10, 	85 minutes, 	Drama, 	R

King Cobra, 	2016, 	5.6/10, 	91 minutes, 	Crime, 	NOT RATED

Meet the Blacks, 	2016, 	6/10, 	94 minutes, 	Comedy, 	R

Mr. Church, 	2016, 	7.7/10, 	104 minutes, 	Comedy, 	PG-13

Till We Meet Again, 	2016, 	6.9/10, 	105 minutes, 	Adventure, 	NOT RATED

Neruda, 	2016, 	7/10, 	107 minutes, 	Biography, 	R

Bad Santa 2, 	2016, 	5.5/10, 	92 minutes, 	Comedy, 	R

The Boss, 	2016, 	5.4/10, 	99 minutes, 	Comedy, 	R

White Girl, 	2016, 	5.8/10, 	88 minutes, 	Drama, 	UNRATED

Miracles from Heaven, 	2016, 	7/10, 	109 minutes, 	Biography, 	PG

Keanu, 	2016, 	6.3/10, 	100 minutes, 	Action, 	R

Collide, 	2016, 	5.7/10, 	99 minutes, 	Action, 	PG-13

Pet, 	2016, 	5.7/10, 	94 minutes, 	Horror, 	R

El cliente, 	2016, 	7.9/10, 	124 minutes, 	Drama, 	PG-13

Mi pap? es un gato, 	2016, 	5.3/10, 	87 minutes, 	Comedy, 	PG

Manos de piedra, 	2016, 	6.6/10, 	111 minutes, 	Action, 	R

A Hologram for the King, 	2016, 	6.1/10, 	98 minutes, 	Comedy, 	R

La bruja de Blair, 	2016, 	5/10, 	89 minutes, 	Horror, 	R

The Birth of a Nation, 	2016, 	6.3/10, 	120 minutes, 	Biography, 	R

A United Kingdom, 	2016, 	6.8/10, 	111 minutes, 	Biography, 	PG-13

Genius, 	2016, 	6.5/10, 	104 minutes, 	Biography, 	PG-13

A Street Cat Named Bob, 	2016, 	7.4/10, 	103 minutes, 	Biography, 	UNRATED

La tortuga roja, 	2016, 	7.6/10, 	80 minutes, 	Animation, 	PG

I  Daniel Blake, 	2016, 	7.9/10, 	100 minutes, 	Drama, 	R

Buster's Mal Heart, 	2016, 	5.9/10, 	96 minutes, 	Drama, 	UNRATED

Max Steel, 	2016, 	4.6/10, 	92 minutes, 	Action, 	PG-13

Whiskey Tango Foxtrot, 	2016, 	6.6/10, 	112 minutes, 	Biography, 	R

The Forest, 	2016, 	4.8/10, 	93 minutes, 	Horror, 	PG-13

In a Valley of Violence, 	2016, 	6/10, 	104 minutes, 	Action, 	R

Boo! A Madea Halloween, 	2016, 	4.7/10, 	103 minutes, 	Comedy, 	PG-13

Shin Godzilla, 	2016, 	6.7/10, 	120 minutes, 	Action, 	NOT RATED

El fin del sue?o americano, 	2016, 	6.1/10, 	108 minutes, 	Crime, 	R

Lowriders, 	2016, 	5.7/10, 	98 minutes, 	Adventure, 	PG-13

Loving, 	2016, 	7/10, 	123 minutes, 	Biography, 	PG-13

Dead Awake, 	2016, 	4.6/10, 	99 minutes, 	Horror, 	NOT RATED

Kung Fu Panda 3, 	2016, 	7.1/10, 	95 minutes, 	Animation, 	PG

Rules Don't Apply, 	2016, 	5.7/10, 	127 minutes, 	Comedy, 	PG-13

Mother's Day, 	2016, 	5.6/10, 	118 minutes, 	Comedy, 	PG-13

Anthropoid, 	2016, 	7.2/10, 	120 minutes, 	Biography, 	R

Wakefield, 	2016, 	6.4/10, 	106 minutes, 	Drama, 	R

Free State of Jones, 	2016, 	6.9/10, 	139 minutes, 	Action, 	R

Money Monster, 	2016, 	6.5/10, 	98 minutes, 	Crime, 	R

Pete's Dragon, 	2016, 	6.7/10, 	102 minutes, 	Action, 	PG

Billy Lynn's Long Halftime Walk, 	2016, 	6.3/10, 	113 minutes, 	Drama, 	R

The Comedian, 	2016, 	5.7/10, 	120 minutes, 	Comedy, 	R

31, 	2016, 	5/10, 	102 minutes, 	Horror, 	R

The Angry Birds Movie, 	2016, 	6.3/10, 	97 minutes, 	Animation, 	PG

The Void, 	2016, 	5.8/10, 	90 minutes, 	Horror, 	NOT RATED

Norman, 	2016, 	6.3/10, 	118 minutes, 	Drama, 	R

Sleight, 	2016, 	5.9/10, 	89 minutes, 	Action, 	R

The Wailing, 	2016, 	7.5/10, 	156 minutes, 	Drama, 	NOT RATED

Presencia siniestra, 	2016, 	4.7/10, 	91 minutes, 	Drama, 	PG-13

Maudie, 	2016, 	7.7/10, 	115 minutes, 	Biography, 	PG-13

How to Be Single, 	2016, 	6.1/10, 	110 minutes, 	Comedy, 	R

Popstar: Never Stop Never Stopping, 	2016, 	6.7/10, 	87 minutes, 	Comedy, 	R

The Finest Hours, 	2016, 	6.8/10, 	117 minutes, 	Action, 	PG-13

The BFG, 	2016, 	6.4/10, 	117 minutes, 	Adventure, 	PG

20th Century Women, 	2016, 	7.4/10, 	119 minutes, 	Comedy, 	R

Office Christmas Party, 	2016, 	5.8/10, 	105 minutes, 	Comedy, 	R

Chuck, 	2016, 	6.5/10, 	98 minutes, 	Biography, 	R

Monster Trucks, 	2016, 	5.7/10, 	104 minutes, 	Action, 	PG

El especialista: La resurrecci?n, 	2016, 	5.6/10, 	98 minutes, 	Action, 	R

Everybody Wants Some!!, 	2016, 	7/10, 	117 minutes, 	Comedy, 	R

American Honey, 	2016, 	7/10, 	163 minutes, 	Adventure, 	R

Zoolander 2, 	2016, 	4.7/10, 	101 minutes, 	Comedy, 	PG-13

Toni Erdmann, 	2016, 	7.5/10, 	162 minutes, 	Comedy, 	R

Ice Age: Collision Course, 	2016, 	5.7/10, 	94 minutes, 	Animation, 	PG

Hunt for the Wilderpeople, 	2016, 	7.9/10, 	101 minutes, 	Adventure, 	PG-13

The Brothers Grimsby, 	2016, 	6.2/10, 	83 minutes, 	Action, 	R

Sing street; este es tu momento, 	2016, 	8/10, 	106 minutes, 	Comedy, 	PG-13

The Purge: Election Year, 	2016, 	6/10, 	108 minutes, 	Action, 	R

Paterson, 	2016, 	7.4/10, 	118 minutes, 	Comedy, 	R

Midnight Special, 	2016, 	6.7/10, 	112 minutes, 	Drama, 	PG-13

Florence Foster Jenkins, 	2016, 	6.9/10, 	111 minutes, 	Biography, 	PG-13

Alice Through the Looking Glass, 	2016, 	6.2/10, 	113 minutes, 	Adventure, 	PG

Caf? Society, 	2016, 	6.7/10, 	96 minutes, 	Comedy, 	PG-13

Bleed for This, 	2016, 	6.8/10, 	117 minutes, 	Biography, 	R

The Boy, 	2016, 	6/10, 	97 minutes, 	Horror, 	PG-13

Hail  Caesar!, 	2016, 	6.3/10, 	106 minutes, 	Comedy, 	PG-13

Triple 9, 	2016, 	6.3/10, 	115 minutes, 	Action, 	R

El beb? de Bridget Jones, 	2016, 	6.6/10, 	118 minutes, 	Comedy, 	R

Kubo and the Two Strings, 	2016, 	7.8/10, 	101 minutes, 	Animation, 	PG

Neighbors 2: Sorority Rising, 	2016, 	5.7/10, 	92 minutes, 	Comedy, 	R

Dangal, 	2016, 	8.7/10, 	161 minutes, 	Action, 	UNRATED

Ouija: Origin of Evil, 	2016, 	6.1/10, 	99 minutes, 	Horror, 	PG-13

London Has Fallen, 	2016, 	5.9/10, 	99 minutes, 	Action, 	R

Teenage Mutant Ninja Turtles: Out of the Shadows, 	2016, 	6/10, 	112 minutes, 	Action, 	PG-13

The Choice, 	2016, 	6.6/10, 	111 minutes, 	Drama, 	PG-13

The 5th Wave, 	2016, 	5.2/10, 	112 minutes, 	Action, 	PG-13

Swiss Army Man, 	2016, 	7/10, 	97 minutes, 	Adventure, 	R

Lady Macbeth, 	2016, 	7/10, 	89 minutes, 	Drama, 	R

Masterminds, 	2016, 	5.8/10, 	95 minutes, 	Action, 	PG-13

Personal Shopper, 	2016, 	6.2/10, 	105 minutes, 	Drama, 	R

Their Finest, 	2016, 	6.8/10, 	117 minutes, 	Comedy, 	R

Storks, 	2016, 	6.8/10, 	87 minutes, 	Animation, 	PG

Dirty Grandpa, 	2016, 	6/10, 	102 minutes, 	Comedy, 	R

Estaci?n Zombie: tren a Busan, 	2016, 	7.5/10, 	118 minutes, 	Action, 	NOT RATED

The Infiltrator, 	2016, 	7/10, 	127 minutes, 	Biography, 	R

Carrie Pilby, 	2016, 	6.6/10, 	98 minutes, 	Comedy, 	Not specified

Criminal, 	2016, 	6.3/10, 	113 minutes, 	Action, 	R

Ben-Hur, 	2016, 	5.7/10, 	123 minutes, 	Action, 	PG-13

Pride and Prejudice and Zombies, 	2016, 	5.8/10, 	108 minutes, 	Action, 	PG-13

Morgan, 	2016, 	5.8/10, 	92 minutes, 	Action, 	R

Central Intelligence, 	2016, 	6.3/10, 	107 minutes, 	Action, 	PG-13
